"","startYear","actor","actress","difference"
"1",1977,24,9,15
"2",1978,41,12,29
"3",1979,57,15,42
"4",1980,80,20,60
"5",1981,70,26,44
"6",1982,95,21,74
"7",1983,99,21,78
"8",1984,116,30,86
"9",1985,120,35,85
"10",1986,133,41,92
"11",1987,144,49,95
"12",1988,153,45,108
"13",1989,160,25,135
"14",1990,147,37,110
"15",1991,132,47,85
"16",1992,133,33,100
"17",1993,150,38,112
"18",1994,154,39,115
"19",1995,151,55,96
"20",1996,155,65,90
"21",1997,166,48,118
"22",1998,153,58,95
"23",1999,181,64,117
"24",2000,178,60,118
"25",2001,167,54,113
"26",2002,194,67,127
"27",2003,192,67,125
"28",2004,199,76,123
"29",2005,209,88,121
"30",2006,234,90,144
"31",2007,237,98,139
"32",2008,238,85,153
"33",2009,207,86,121
"34",2010,192,84,108
"35",2011,217,89,128
"36",2012,245,102,143
"37",2013,263,97,166
"38",2014,252,93,159
"39",2015,233,112,121
"40",2016,244,118,126
"41",2017,207,115,92
"42",2018,214,133,81
"43",2019,167,99,68
